row,date,q,rain,temp,ETP_dint,peff,baseflow_1,baseflow_2,baseflow_3
2,2009-05-01,0.1017,1,10.2,1.9,0,0.1017,,
3,2009-05-02,0.0709,6,9.6,1.9,4.0336,0.0759,,
4,2009-05-03,0.0883,13.6,9.1,1.9,11.6147,0.0559,,
5,2009-05-04,0.4010,16.8,10.1,2.0,14.7952,0.092,,
6,2009-05-05,0.7945,26.2,10.8,2.0,24.1753,0.3388,,
7,2009-05-06,0.7840,9.2,10.6,2.0,7.1547,0.6104,,
8,2009-05-07,0.2436,14.2,8.0,2.0,12.1334,0.5616,,
9,2009-05-08,0.3101,10.5,8.5,2.0,8.4116,0.1926,,
10,2009-05-09,0.2501,1.7,8.2,2.1,0,0.234,,
11,2009-05-10,0.1226,0,9.0,2.1,0,0.1826,,
12,2009-05-11,0.0626,0,10.5,2.1,0,0.0898,,
13,2009-05-12,0.0461,0,10.1,2.1,0,0.0469,,
14,2009-05-13,0.0387,1.3,10.3,2.2,0,0.0349,,
15,2009-05-14,0.0326,7.7,10.0,2.2,5.4643,0.0293,,
16,2009-05-15,0.0601,3,9.5,2.2,0.7367,0.0272,,
17,2009-05-16,0.0774,3.8,9.4,2.2,1.5082,0.0476,,
18,2009-05-17,0.0674,7.4,9.0,2.3,5.0787,0.0588,,
19,2009-05-18,0.1260,0.4,9.5,2.3,0,0.0564,,
20,2009-05-19,0.0959,7,10.0,2.3,4.6176,0.0947,,
21,2009-05-20,0.1450,1.5,10.4,2.4,0,0.0776,,
22,2009-05-21,0.0712,3,10.0,2.4,0.5539,0.1059,,
23,2009-05-22,0.0691,2.7,12.6,2.4,0.2213,0.0546,,
24,2009-05-23,0.1961,8.5,11.6,2.5,5.9884,0.063,,
25,2009-05-24,0.1037,0.6,11.8,2.5,0,0.1437,,
26,2009-05-25,0.0728,4.7,11.7,2.5,2.1216,0.0774,,
27,2009-05-26,0.0768,5.4,9.7,2.6,2.7879,0.0563,,
28,2009-05-27,0.1457,3.8,11.7,2.6,1.1542,0.0644,,
29,2009-05-28,0.2287,0,14.2,2.6,0,0.1185,,
30,2009-05-29,0.0731,0,16.1,2.7,0,0.164,,
31,2009-05-30,0.0473,0,16.9,2.7,0,0.0543,,
32,2009-05-31,0.0380,0,17.4,2.7,0,0.0357,,
33,2009-06-01,0.0322,0,17.9,2.8,0,0.0289,,
34,2009-06-02,0.0275,0,18.9,2.8,0,0.0244,,
35,2009-06-03,0.0246,0,15.2,2.8,0,0.021,,
